3,689488702
3,702401395
3,798133840
4,042177034
4,077636344
4,241346496
4,538152464
4,542176407
4,647853352
4,727935809
4,775178527
4,970324062
5,147729964
5,196291296
5,276261626
5,285739742
5,332114761
5,369763328
5,544721082
5,857777639
6,042532526
6,260859463
6,441100392
6,799778381
7,036269633
7,295388712
7,639575051
7,758715778
7,815779523
7,996207928
8,738223405
8,904325753
8,958391945
9,136970710
9,177305678
9,224322593
9,519029877
9,605889101
9,859441152
9,912778473
10,022766127
10,109417341
10,182743635
10,509634727
10,579773986
10,860828302
11,379010795
11,544916814
11,912749488
12,012079747
12,177057761
12,739644832
12,841383337
13,391075176
13,747820902
13,765963371
14,487321808
14,909074245
15,435310571
15,854786265
16,460342379
16,763257419
17,603703282
18,358258290
18,870586791
19,848322286
21,145972276
21,711302019
22,458904857
24,178207290
24,982932464
26,615424109
29,598628181
31,738369554
34,422667613
38,187592678
43,271454254
51,720460632
65,286318209
88,042994426
118,217876957
171,906544172
284,650617395
354,962829405
2100,218737800
