1014,758068766
992,659751098
976,306573302
1121,189873192
1071,243806799
1111,415832467
1203,137009653
1130,804977207
1112,757505021
1102,280431801
1097,105526269
1113,984288648
1150,031581960
1102,190250057
1094,639094429
1062,247997247
1042,244715142
1017,074752941
973,598509766
950,662039648
923,837591847
900,508822389
807,792295811
782,064804241
734,187739333
680,959579009
626,637174451
464,754717988
461,333723946
429,462029556
359,994024398
357,968634605
325,909380623
327,018519838
306,872837889
300,213292254
302,380030874
283,550743024
282,158371802
278,849904676
257,145422028
252,261250321
232,395224817
228,972827285
206,014859075
203,659831538
181,916365320
179,181627899
164,265601029
142,444824549
139,728052048
138,057738013
123,523821845
121,737142068
108,480349694
87,226273669
84,803386599
80,807151537
78,260255568
73,844819625
70,296442978
63,166582448
59,382203960
56,180194160
52,927283430
48,596679840
45,505786851
42,233139984
37,433079975
34,795389462
31,223225985
27,339590992
24,682305388
20,766384842
17,740279849
14,517783710
11,651375567
8,850760057
6,889248213
4,634944987
2,915485026
1,697749061
0,780180869
0,198078270
0,000000000
