2139,652709443
2109,243381901
2033,550083257
2025,229590027
1952,376354289
1894,410496639
1827,185610561
1752,452951996
1674,648638822
1627,886013388
1604,430214067
1546,565307041
1518,362766404
1453,628007920
1418,462771507
1382,803060104
1347,735720390
1312,773354776
1226,711919903
1145,817740988
1096,271669145
1048,475377582
937,942945135
883,008364974
818,921960932
751,782857843
682,629388187
517,099326620
512,262687266
476,728401948
395,845108412
391,588963178
358,872252418
357,835189692
337,236874915
330,063392621
329,066112119
309,372006972
305,524012617
301,709419408
279,052348010
273,438827439
253,008685030
247,579310176
224,324385369
220,820111768
197,273296816
193,987314423
177,987906497
155,918839572
152,804018745
149,800788135
135,057094897
132,201971129
118,356517357
97,078757942
93,770674363
89,298965965
86,207998846
81,403778199
77,341779272
69,977739501
65,622742563
61,974972071
58,441949590
53,613201411
49,971453976
46,464860386
41,372905966
38,183905724
34,371055055
30,048427656
26,772305840
22,528737808
19,167309116
15,609293983
12,445589854
9,364624275
7,178199645
4,786996442
2,998626318
1,733089093
0,782332386
0,198078270
0,000000000
