      0 noerr        1518  1 N

   7918 noerr         0 22  
   8118 noerr        22 22 N     + 24.50398 g  

   8118 noerr         0 22  
   8318 noerr        22 22 N     + 24.50398 g  

   8318 noerr         0 22  
   8518 noerr        22 22 N     + 24.50398 g  

   8518 noerr         0 22  
   8718 noerr        22 22 N     + 24.50398 g  

   8718 noerr         0 22  
   8918 noerr        22 22 N     + 24.50398 g  

   8918 noerr         0 22  
   9118 noerr        22 22 N     + 24.50398 g  

   9118 noerr         0 22  
   9318 noerr        22 22 N     + 24.50398 g  

   9318 noerr         0 22  
   9518 noerr        22 22 N     + 24.50398 g  

   9518 noerr         0 22  
   9718 noerr        22 22 N     + 24.50398 g  

   9718 noerr         0 22  
   9918 noerr        22 22 N     + 24.50398 g  

   9918 noerr         0 22  
  10118 noerr        22 22 N     + 24.50398 g  

  10118 noerr         0 22  
  10318 noerr        22 22 N     + 24.50398 g  

  10318 noerr         0 22  
  10518 noerr        22 22 N     + 24.50398 g  

  10518 noerr         0 22  
  10718 noerr        22 22 N     + 24.50398 g  

  10718 noerr         0 22  
  10918 noerr        22 22 N     + 24.50398 g  

  10918 noerr         0 22  
  11118 noerr        22 22 N     + 24.50398 g  

  11118 noerr         0 22  
  11318 noerr        22 22 N     + 24.50398 g  

  11318 noerr         0 22  
  11518 noerr        22 22 N     + 24.50398 g  

  11518 noerr         0 22  
  11718 noerr        22 22 N     + 24.50398 g  

  11718 noerr         0 22  
  11918 noerr        22 22 N     + 24.50398 g  

  11918 noerr         0 22  
  12118 noerr        22 22 N     + 24.50398 g  

  12118 noerr         0 22  
  12318 noerr        22 22 N     + 24.50398 g  

  12318 noerr         0 22  
  12518 noerr        22 22 N     + 24.50398 g  

  12518 noerr         0 22  
  12718 noerr        22 22 N     + 24.50398 g  

  12718 noerr         0 22  
  12917 noerr        22 22 N     + 24.50398 g  

  12918 noerr         0 22  
  13118 noerr        22 22 N     + 24.50398 g  

  13118 noerr         0 22  
  13318 noerr        22 22 N     + 24.50398 g  

  13318 noerr         0 22  
  13518 noerr        22 22 N     + 24.50398 g  

  13518 noerr         0 22  
  13718 noerr        22 22 N     + 24.50398 g  

  13718 noerr         0 22  
  13918 noerr        22 22 N     + 24.50398 g  

  13918 noerr         0 22  
  14118 noerr        22 22 N     + 24.50398 g  

  14118 noerr         0 22  
  14317 noerr        22 22 N     + 24.50398 g  

  14318 noerr         0 22  
  14518 noerr        22 22 N     + 24.50398 g  

  14518 noerr         0 22  
  14718 noerr        22 22 N     + 24.50398 g  

  14718 noerr         0 22  
  14918 noerr        22 22 N     + 24.50398 g  

  14918 noerr         0 22  
  15119 noerr        22 22 N     + 24.50398 g  

  15119 noerr         0 22  
  15319 noerr        22 22 N     + 24.50398 g  

  15319 noerr         0 22  
  15519 noerr        22 22 N     + 24.50398 g  

  15519 noerr         0 22  
  15719 noerr        22 22 N     + 24.50398 g  

  15719 noerr         0 22  
  15918 noerr        22 22 N     + 24.50398 g  

  15919 noerr         0 22  
  16117 noerr        22 22 N     + 24.50398 g  

  16119 noerr         0 22  
  16319 noerr        22 22 N     + 24.50398 g  

  16319 noerr         0 22  
  16512 noerr        22 22 N     + 24.50398 g  

  16522 noerr         0 22  
  16719 noerr        22 22 N     + 24.50398 g  

  16719 noerr         0 22  
  16919 noerr        22 22 N     + 24.50398 g  

  16919 noerr         0 22  
  17119 noerr        22 22 N     + 24.50398 g  

  17119 noerr         0 22  
  17319 noerr        22 22 N     + 24.50398 g  

  17319 noerr         0 22  
  17519 noerr        22 22 N     + 24.50398 g  

  17519 noerr         0 22  
  17719 noerr        22 22 N     + 24.50398 g  

  17719 noerr         0 22  
  17919 noerr        22 22 N     + 24.50398 g  

  17919 noerr         0 22  
